,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,loan_default,house_onwer,emp_year_greater_5,loan_grade0,loan_grade1,loan_grade2,loan_grade3,loan_grade4,loan_grade5,loam_purpose0,loam_purpose1,loam_purpose2,loam_purpose3,loam_purpose4,loam_purpose5,loam_purpose6,loam_purpose7,loam_purpose8,loam_purpose9,loam_purpose10,loan_term0
89,12000,22.35,333.82,55000,20.07,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,32000,13.56,1086.86,87500,17.16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
91,15000,13.56,509.47,55000,17.43,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
92,4500,10.08,145.38,63000,25.77,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
93,40000,8.46,1261.97,150000,22.4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
94,3000,20.89,112.86,78000,0.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
95,17200,19.92,454.93,66900,26.67,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,15000,7.84,468.94,175000,6.14,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
97,19200,10.47,412.4,170000,17.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,15000,10.47,487.33,220000,9.83,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
99,25000,12.73,839.11,500000,5.75,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,8000,17.97,289.1,750000,5.8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
101,20000,10.08,425.73,40000,6.36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,20000,6.11,609.44,100050,8.62,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
103,19900,10.08,423.6,60000,13.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6400,8.46,201.92,32000,4.05,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
105,4000,10.47,129.96,100000,18.12,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
106,40000,18.94,1465.03,79000,34,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
107,10000,10.08,323.05,75000,29.49,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,20000,10.08,646.1,49000,14.72,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
109,7000,15.02,242.73,32700,13.98,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
110,40000,6.11,1218.88,120000,7.52,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
111,2000,11.06,65.54,23283.52,29.28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
112,29000,11.06,631.4,80000,5.51,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,5000,6.11,152.36,25000,25.2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
114,6000,16.14,211.36,54000,24.8,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
115,28000,12.73,633.23,50000,21.82,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,8850,6.67,271.93,62000,12.2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
117,12000,13.56,276.49,87700,6.92,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,30000,19.92,1113.69,250000,4.4,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
119,10000,6.67,307.27,50000,3.84,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
120,20000,12.73,452.31,53000,15.38,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,10000,15.02,346.76,70000,23.06,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
122,16000,20.89,601.9,180000,6.95,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
123,8000,13.56,271.72,42000,22.23,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
124,12600,30.84,540.71,30000,27.24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
125,10000,25.34,295.51,42000,10.43,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
126,28000,22.35,778.92,65000,24.35,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,30000,10.47,644.38,68275,12.83,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,8000,6.11,243.78,110000,22.08,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
129,18000,7.84,562.73,53000,27.63,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
130,13000,14.47,447.29,80000,10.65,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
131,25000,7.84,781.57,55000,19.49,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
132,10000,7.21,309.74,75000,10.37,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
133,5600,8.46,176.68,54000,4.64,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
134,35000,18.94,1281.9,132000,20.39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
135,25000,27.27,767.43,47000,23.37,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
136,20800,11.06,681.56,106000,16.73,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
137,10000,7.84,312.63,40000,12.78,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
138,4000,8.46,126.2,43680,9.64,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
139,40000,18.94,1036.31,103000,36.76,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,5000,15.02,173.38,70000,11.21,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
141,32500,18.94,842,63000,24.74,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,15000,22.35,417.28,96000,8.71,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,7000,6.11,213.31,42000,6.8,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
144,33600,15.02,1165.09,155200,24.37,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
145,12000,6.67,368.72,95000,4.48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
146,23800,15.02,566.46,65000,21.51,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
147,10000,15.02,238.01,45000,3.73,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,10000,14.47,344.07,40000,8.15,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
149,30000,18.94,1098.78,95000,20.68,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,14500,6.11,441.85,56000,6.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
151,30000,22.35,1151.16,98000,31.79,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
152,16000,15.02,380.81,86500,15.82,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,14000,16.91,347.26,64000,20.48,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,5500,8.46,173.52,67500,17.28,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
155,5000,7.84,156.32,75000,16.48,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
156,10000,10.47,214.8,40000,5.37,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,12000,6.11,365.67,65000,20.62,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
158,3500,7.21,108.41,145000,10.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
159,3000,16.14,105.68,30000,22.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160,10000,15.02,346.76,95000,15.47,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
161,10000,6.11,304.72,250000,6.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
162,15000,12.73,503.47,60000,13.26,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
163,15000,13.56,509.47,70000,14.02,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
164,5000,16.14,176.14,48000,3.4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
165,5500,19.92,204.18,38000,20.14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
166,30000,16.91,744.13,87000,13.66,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167,28600,14.47,984.03,125000,12.49,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
168,2500,10.47,81.23,37000,10.31,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
169,8000,16.14,281.81,30000,27.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
170,25000,6.11,761.8,350000,2.84,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
171,15000,12.73,339.23,112000,29.49,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,30000,18.94,1098.78,400000,5.75,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
173,10000,16.14,352.27,155000,14.76,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
174,3200,16.91,113.95,105000,12.52,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
175,16000,8.46,327.96,73000,22.42,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,16000,17.97,406.04,72000,17.3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,12000,22.35,333.82,12312,14.81,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,5400,14.47,185.8,92000,26.99,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
179,25000,14.47,860.16,73000,31.6,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180,10000,29.69,321.64,70000,24.43,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
181,12000,19.92,317.4,58000,11.38,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,1600,20.89,60.19,60000,18.96,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
183,16000,25.34,472.82,60000,18.7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
184,3000,8.46,94.65,120000,16.06,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
185,14000,12.73,469.9,240000,12.09,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
186,5000,20.89,188.1,52800,6.06,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
187,25000,16.14,609.82,76500,24.82,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,5500,20.89,206.91,52500,16.32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
189,9600,17.97,346.92,48000,17.65,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
190,7000,11.55,231,44000,25.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
191,5000,16.91,178.04,25361,35.16,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
192,32000,15.02,761.62,88000,17.68,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193,20000,16.91,712.16,192000,7.66,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
194,10000,20.89,269.92,85000,15.66,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,4000,20.89,150.48,32000,8.48,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
196,11000,18.94,284.99,48000,19.98,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
197,40000,10.08,851.46,86000,17.09,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,5000,7.21,154.87,55000,10.71,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
199,7500,15.02,260.07,20000,15.31,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
200,9000,11.55,297,97000,43.24,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
201,27000,11.06,884.72,97000,20.13,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
202,28000,19.92,740.59,71976,26.53,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,16000,19.92,593.97,75000,28.58,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
204,25000,22.35,695.46,125000,25.42,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,40000,6.11,1218.88,475000,13.24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
